\N	A	1	400.00	0	2005/11/4
\N	A	2	459.00	0	2005/11/4
\N	B	1	400.00	1	2005/11/4
\N	A	3	1240.00	0	2005/11/4
\N	B	3	1240.00	1	2005/11/4
\N	A	4	250.00	0	2005/11/4
\N	C	4	-200.00	0	2005/11/4
\N	A	8	250.00	0	2005/11/14
\N	A	9	175.00	0	2005/11/15
\N	B	9	175.00	1	2005/11/18
\N	A	5	378.00	0	2005/12/10
\N	A	6	783.00	0	2006/2/1
\N	A	7	783.00	0	2006/2/2
\N	B	6	783.00	1	2006/2/5
\N	D	6	-1566.00	1	2006/4/15
\N	E	\N	5550.00	\N	2006/4/15
\N	D	9	-315.00	1	2006/4/16
\N	C	8	-200.00	0	2006/4/16
\N	E	\N	-515.00	\N	2006/4/16
